epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,733.997,1.64502,1.59194,1.47644,0.38106,0.34017,0.29234,0.10543,2.33194,1.76836,1.64205,0.0011684,0.0011684,0.0011684
44,751.098,1.62394,1.51907,1.46075,0.42447,0.31963,0.2856,0.09061,2.35566,1.88168,1.68917,0.0011486,0.0011486,0.0011486
45,767.562,1.66014,1.55573,1.47802,0.40275,0.31562,0.26597,0.0883,2.3108,1.92512,1.6332,0.0011288,0.0011288,0.0011288
46,784.456,1.59396,1.51536,1.476,0.4771,0.30137,0.30712,0.09915,2.32708,1.79599,1.63485,0.001109,0.001109,0.001109
47,801.16,1.66065,1.56274,1.51715,0.42858,0.32877,0.295,0.09608,2.28339,1.90753,1.63776,0.0010892,0.0010892,0.0010892
48,818.126,1.6472,1.50646,1.47747,0.38255,0.33241,0.29413,0.09136,2.3413,1.86849,1.64221,0.0010694,0.0010694,0.0010694
49,834.58,1.64517,1.54556,1.49328,0.40025,0.35616,0.30117,0.09535,2.34699,1.86345,1.64316,0.0010496,0.0010496,0.0010496
50,851.392,1.6102,1.46203,1.46658,0.38656,0.37671,0.31043,0.10383,2.38462,1.82599,1.68231,0.0010298,0.0010298,0.0010298
51,867.838,1.64141,1.54488,1.51187,0.37042,0.34247,0.28596,0.09822,2.31549,1.86859,1.6248,0.00101,0.00101,0.00101
52,884.589,1.60265,1.56436,1.48278,0.40278,0.35616,0.29799,0.09858,2.27883,1.85722,1.60097,0.0009902,0.0009902,0.0009902
53,901.225,1.60831,1.44276,1.44154,0.38115,0.34703,0.29985,0.10264,2.36083,1.78685,1.68342,0.0009704,0.0009704,0.0009704
54,918.235,1.61039,1.41526,1.45408,0.38548,0.37671,0.30792,0.1025,2.34753,1.76669,1.65769,0.0009506,0.0009506,0.0009506
55,934.949,1.63446,1.49677,1.45951,0.4177,0.34703,0.31556,0.1056,2.36941,1.837,1.69726,0.0009308,0.0009308,0.0009308
56,951.992,1.60317,1.44756,1.43186,0.40603,0.34475,0.28964,0.09916,2.34718,1.9039,1.68383,0.000911,0.000911,0.000911
57,968.423,1.5711,1.43452,1.45887,0.43934,0.36319,0.33524,0.11174,2.31811,1.74918,1.65513,0.0008912,0.0008912,0.0008912
58,985.435,1.51381,1.39884,1.44067,0.42286,0.37671,0.32477,0.10765,2.3073,1.77471,1.65534,0.0008714,0.0008714,0.0008714
59,1002.16,1.53721,1.34823,1.39386,0.42323,0.35388,0.3159,0.10694,2.29741,1.80616,1.66147,0.0008516,0.0008516,0.0008516
60,1018.95,1.49769,1.3265,1.40386,0.43077,0.36301,0.30997,0.10687,2.33161,1.78391,1.68412,0.0008318,0.0008318,0.0008318
61,1035.73,1.57008,1.37941,1.44587,0.51381,0.34247,0.3397,0.10731,2.373,1.88539,1.69909,0.000812,0.000812,0.000812
62,1052.46,1.62009,1.44463,1.45922,0.40717,0.36986,0.31589,0.10356,2.37069,1.81973,1.69177,0.0007922,0.0007922,0.0007922
63,1069.64,1.5884,1.44975,1.45103,0.47491,0.36073,0.33477,0.11445,2.39041,1.81045,1.7132,0.0007724,0.0007724,0.0007724
64,1086.42,1.51644,1.35023,1.40077,0.47272,0.33773,0.32677,0.10829,2.33736,1.77213,1.71817,0.0007526,0.0007526,0.0007526
65,1103.66,1.47861,1.29377,1.3672,0.54068,0.36551,0.3508,0.11971,2.35663,1.73627,1.71909,0.0007328,0.0007328,0.0007328
66,1120.38,1.50546,1.29957,1.39501,0.44376,0.37521,0.34532,0.11745,2.28224,1.76866,1.6562,0.000713,0.000713,0.000713
67,1137.19,1.45022,1.26647,1.35936,0.42296,0.40411,0.33916,0.11232,2.35543,1.82192,1.67283,0.0006932,0.0006932,0.0006932
68,1153.67,1.43156,1.23279,1.34992,0.45103,0.37215,0.35416,0.12023,2.33339,1.75778,1.67239,0.0006734,0.0006734,0.0006734
69,1170.67,1.46085,1.28416,1.37125,0.42542,0.40183,0.34911,0.12069,2.26963,1.7643,1.62581,0.0006536,0.0006536,0.0006536
70,1187.03,1.44383,1.26986,1.36545,0.47455,0.39498,0.36874,0.12712,2.32387,1.72334,1.65879,0.0006338,0.0006338,0.0006338
71,1203.94,1.4971,1.30049,1.41534,0.45456,0.41859,0.36699,0.12969,2.33246,1.72515,1.68437,0.000614,0.000614,0.000614
72,1220.46,1.43806,1.24745,1.35312,0.48859,0.42466,0.38359,0.12757,2.34196,1.74984,1.69373,0.0005942,0.0005942,0.0005942
73,1237.41,1.44802,1.22271,1.34638,0.46248,0.36301,0.35432,0.12287,2.27715,1.72812,1.64446,0.0005744,0.0005744,0.0005744
74,1254.11,1.44012,1.24903,1.37051,0.51093,0.34018,0.35237,0.12155,2.27525,1.7165,1.63797,0.0005546,0.0005546,0.0005546
75,1271.13,1.4526,1.25258,1.35047,0.56195,0.37197,0.37334,0.12284,2.38082,1.7026,1.69969,0.0005348,0.0005348,0.0005348
76,1287.82,1.45189,1.25642,1.38877,0.49588,0.36073,0.34905,0.11684,2.34155,1.75414,1.69901,0.000515,0.000515,0.000515
77,1304.76,1.41137,1.20456,1.34259,0.48012,0.3653,0.35767,0.1256,2.34497,1.75277,1.70533,0.0004952,0.0004952,0.0004952
78,1321.17,1.42832,1.19275,1.34754,0.50201,0.34247,0.34825,0.11746,2.34095,1.73791,1.69283,0.0004754,0.0004754,0.0004754
79,1338.09,1.43581,1.17715,1.32586,0.45818,0.379,0.36545,0.12962,2.35617,1.78673,1.71258,0.0004556,0.0004556,0.0004556
80,1354.8,1.42428,1.16838,1.31967,0.48935,0.379,0.37358,0.13225,2.32428,1.66656,1.69065,0.0004358,0.0004358,0.0004358
81,1371.81,1.35116,1.11651,1.28548,0.5153,0.39498,0.38153,0.1371,2.31478,1.63675,1.68625,0.000416,0.000416,0.000416
82,1388.45,1.37336,1.15467,1.28506,0.50069,0.39726,0.37878,0.13527,2.31978,1.70639,1.68992,0.0003962,0.0003962,0.0003962
83,1405.53,1.41346,1.21795,1.35297,0.49875,0.37443,0.36565,0.13046,2.35981,1.68982,1.71068,0.0003764,0.0003764,0.0003764
84,1422,1.38552,1.18911,1.33428,0.54439,0.38737,0.38637,0.13859,2.28127,1.65178,1.64395,0.0003566,0.0003566,0.0003566
85,1438.78,1.392,1.16313,1.3517,0.52351,0.40411,0.39119,0.13182,2.3228,1.69501,1.68831,0.0003368,0.0003368,0.0003368
86,1455.51,1.36446,1.12991,1.29832,0.48164,0.42237,0.38487,0.13625,2.2993,1.67774,1.68271,0.000317,0.000317,0.000317
87,1472,1.29731,1.05489,1.25382,0.52154,0.39726,0.38829,0.13838,2.28772,1.64903,1.68215,0.0002972,0.0002972,0.0002972
88,1488.97,1.36749,1.09538,1.2945,0.44624,0.39726,0.3721,0.13301,2.2712,1.68077,1.6406,0.0002774,0.0002774,0.0002774
89,1505.73,1.38429,1.15318,1.30118,0.56218,0.38697,0.38615,0.13403,2.28282,1.61732,1.65779,0.0002576,0.0002576,0.0002576
90,1522.84,1.27755,1.02682,1.27107,0.51196,0.40411,0.38934,0.13986,2.26686,1.60256,1.66329,0.0002378,0.0002378,0.0002378
91,1540.34,1.40611,1.10625,1.31148,0.53586,0.39954,0.37984,0.13887,2.27694,1.60799,1.65963,0.000218,0.000218,0.000218
92,1556.85,1.36048,1.05005,1.26902,0.49015,0.42237,0.37738,0.13569,2.27904,1.63957,1.66634,0.0001982,0.0001982,0.0001982
93,1572.92,1.31792,0.9833,1.23793,0.57352,0.36073,0.38116,0.13897,2.27246,1.65278,1.67122,0.0001784,0.0001784,0.0001784
94,1589.4,1.32176,0.99283,1.26329,0.49314,0.39726,0.37904,0.13815,2.27214,1.6137,1.67474,0.0001586,0.0001586,0.0001586
95,1605.49,1.36323,1.05116,1.26391,0.53776,0.39269,0.38758,0.14156,2.26771,1.61495,1.68193,0.0001388,0.0001388,0.0001388
96,1622,1.34094,0.99929,1.24686,0.50001,0.40868,0.38563,0.14052,2.29705,1.59177,1.68292,0.000119,0.000119,0.000119
97,1638.14,1.30454,1.05939,1.27359,0.54765,0.38356,0.38348,0.13929,2.27819,1.62133,1.67546,9.92e-05,9.92e-05,9.92e-05
98,1654.75,1.36192,1.05362,1.2506,0.49289,0.39498,0.37981,0.13752,2.2658,1.6127,1.6646,7.94e-05,7.94e-05,7.94e-05
99,1670.73,1.25011,0.95773,1.20805,0.56624,0.379,0.38893,0.14131,2.30003,1.60026,1.6908,5.96e-05,5.96e-05,5.96e-05
100,1687.09,1.31401,0.99986,1.2152,0.51877,0.39041,0.38109,0.13999,2.28741,1.60041,1.69039,3.98e-05,3.98e-05,3.98e-05
